"flight_date","total_landings"
"2020-01-01 00:00:00.000 Europe/Stockholm","178"
"2020-01-02 00:00:00.000 Europe/Stockholm","239"
"2020-01-03 00:00:00.000 Europe/Stockholm","234"
"2020-01-04 00:00:00.000 Europe/Stockholm","166"
"2020-01-05 00:00:00.000 Europe/Stockholm","241"
"2020-01-06 00:00:00.000 Europe/Stockholm","272"
"2020-01-07 00:00:00.000 Europe/Stockholm","272"
"2020-01-08 00:00:00.000 Europe/Stockholm","268"
"2020-01-09 00:00:00.000 Europe/Stockholm","276"
"2020-01-10 00:00:00.000 Europe/Stockholm","274"
"2020-01-11 00:00:00.000 Europe/Stockholm","143"
"2020-01-12 00:00:00.000 Europe/Stockholm","232"
"2020-01-13 00:00:00.000 Europe/Stockholm","286"
"2020-01-14 00:00:00.000 Europe/Stockholm","264"
"2020-01-15 00:00:00.000 Europe/Stockholm","271"
"2020-01-16 00:00:00.000 Europe/Stockholm","276"
"2020-01-17 00:00:00.000 Europe/Stockholm","284"
"2020-01-18 00:00:00.000 Europe/Stockholm","138"
"2020-01-19 00:00:00.000 Europe/Stockholm","229"
"2020-01-20 00:00:00.000 Europe/Stockholm","293"
"2020-01-21 00:00:00.000 Europe/Stockholm","268"
"2020-01-22 00:00:00.000 Europe/Stockholm","280"
"2020-01-23 00:00:00.000 Europe/Stockholm","298"
"2020-01-24 00:00:00.000 Europe/Stockholm","290"
"2020-01-25 00:00:00.000 Europe/Stockholm","153"
"2020-01-26 00:00:00.000 Europe/Stockholm","240"
"2020-01-27 00:00:00.000 Europe/Stockholm","292"
"2020-01-28 00:00:00.000 Europe/Stockholm","267"
"2020-01-29 00:00:00.000 Europe/Stockholm","279"
"2020-01-30 00:00:00.000 Europe/Stockholm","297"
"2020-01-31 00:00:00.000 Europe/Stockholm","293"
"2020-02-01 00:00:00.000 Europe/Stockholm","155"
"2020-02-02 00:00:00.000 Europe/Stockholm","235"
"2020-02-03 00:00:00.000 Europe/Stockholm","296"
"2020-02-04 00:00:00.000 Europe/Stockholm","268"
"2020-02-05 00:00:00.000 Europe/Stockholm","288"
"2020-02-06 00:00:00.000 Europe/Stockholm","304"
"2020-02-07 00:00:00.000 Europe/Stockholm","295"
"2020-02-08 00:00:00.000 Europe/Stockholm","174"
"2020-02-09 00:00:00.000 Europe/Stockholm","235"
"2020-02-10 00:00:00.000 Europe/Stockholm","276"
"2020-02-11 00:00:00.000 Europe/Stockholm","266"
"2020-02-12 00:00:00.000 Europe/Stockholm","290"
"2020-02-13 00:00:00.000 Europe/Stockholm","297"
"2020-02-14 00:00:00.000 Europe/Stockholm","301"
"2020-02-15 00:00:00.000 Europe/Stockholm","168"
"2020-02-16 00:00:00.000 Europe/Stockholm","244"
"2020-02-17 00:00:00.000 Europe/Stockholm","295"
"2020-02-18 00:00:00.000 Europe/Stockholm","273"
"2020-02-19 00:00:00.000 Europe/Stockholm","292"
"2020-02-20 00:00:00.000 Europe/Stockholm","304"
"2020-02-21 00:00:00.000 Europe/Stockholm","316"
"2020-02-22 00:00:00.000 Europe/Stockholm","191"
"2020-02-23 00:00:00.000 Europe/Stockholm","252"
"2020-02-24 00:00:00.000 Europe/Stockholm","283"
"2020-02-25 00:00:00.000 Europe/Stockholm","280"
"2020-02-26 00:00:00.000 Europe/Stockholm","290"
"2020-02-27 00:00:00.000 Europe/Stockholm","292"
"2020-02-28 00:00:00.000 Europe/Stockholm","302"
"2020-02-29 00:00:00.000 Europe/Stockholm","210"
"2020-03-01 00:00:00.000 Europe/Stockholm","271"
"2020-03-02 00:00:00.000 Europe/Stockholm","305"
"2020-03-03 00:00:00.000 Europe/Stockholm","297"
"2020-03-04 00:00:00.000 Europe/Stockholm","307"
"2020-03-05 00:00:00.000 Europe/Stockholm","314"
"2020-03-06 00:00:00.000 Europe/Stockholm","318"
"2020-03-07 00:00:00.000 Europe/Stockholm","175"
"2020-03-08 00:00:00.000 Europe/Stockholm","266"
"2020-03-09 00:00:00.000 Europe/Stockholm","306"
"2020-03-10 00:00:00.000 Europe/Stockholm","285"
"2020-03-11 00:00:00.000 Europe/Stockholm","293"
"2020-03-12 00:00:00.000 Europe/Stockholm","284"
"2020-03-13 00:00:00.000 Europe/Stockholm","289"
"2020-03-14 00:00:00.000 Europe/Stockholm","153"
"2020-03-15 00:00:00.000 Europe/Stockholm","234"
"2020-03-16 00:00:00.000 Europe/Stockholm","209"
"2020-03-17 00:00:00.000 Europe/Stockholm","176"
"2020-03-18 00:00:00.000 Europe/Stockholm","151"
"2020-03-19 00:00:00.000 Europe/Stockholm","139"
"2020-03-20 00:00:00.000 Europe/Stockholm","133"
"2020-03-21 00:00:00.000 Europe/Stockholm","82"
"2020-03-22 00:00:00.000 Europe/Stockholm","94"
"2020-03-23 00:00:00.000 Europe/Stockholm","71"
"2020-03-24 00:00:00.000 Europe/Stockholm","64"
"2020-03-25 00:00:00.000 Europe/Stockholm","65"
"2020-03-26 00:00:00.000 Europe/Stockholm","58"
"2020-03-27 00:00:00.000 Europe/Stockholm","71"
"2020-03-28 00:00:00.000 Europe/Stockholm","38"
"2020-03-29 00:00:00.000 Europe/Stockholm","51"
"2020-03-30 00:00:00.000 Europe/Stockholm","53"
"2020-03-31 00:00:00.000 Europe/Stockholm","44"
"2020-04-01 00:00:00.000 Europe/Stockholm","46"
"2020-04-02 00:00:00.000 Europe/Stockholm","47"
"2020-04-03 00:00:00.000 Europe/Stockholm","49"
"2020-04-04 00:00:00.000 Europe/Stockholm","26"
"2020-04-05 00:00:00.000 Europe/Stockholm","32"
"2020-04-06 00:00:00.000 Europe/Stockholm","41"
"2020-04-07 00:00:00.000 Europe/Stockholm","32"
"2020-04-08 00:00:00.000 Europe/Stockholm","38"
"2020-04-09 00:00:00.000 Europe/Stockholm","35"
"2020-04-10 00:00:00.000 Europe/Stockholm","20"
"2020-04-11 00:00:00.000 Europe/Stockholm","12"
"2020-04-12 00:00:00.000 Europe/Stockholm","18"
"2020-04-13 00:00:00.000 Europe/Stockholm","20"
"2020-04-14 00:00:00.000 Europe/Stockholm","33"
"2020-04-15 00:00:00.000 Europe/Stockholm","31"
"2020-04-16 00:00:00.000 Europe/Stockholm","33"
"2020-04-17 00:00:00.000 Europe/Stockholm","31"
"2020-04-18 00:00:00.000 Europe/Stockholm","20"
"2020-04-19 00:00:00.000 Europe/Stockholm","29"
"2020-04-20 00:00:00.000 Europe/Stockholm","32"
"2020-04-21 00:00:00.000 Europe/Stockholm","34"
"2020-04-22 00:00:00.000 Europe/Stockholm","35"
"2020-04-23 00:00:00.000 Europe/Stockholm","38"
"2020-04-24 00:00:00.000 Europe/Stockholm","33"
"2020-04-25 00:00:00.000 Europe/Stockholm","17"
"2020-04-26 00:00:00.000 Europe/Stockholm","28"
"2020-04-27 00:00:00.000 Europe/Stockholm","25"
"2020-04-28 00:00:00.000 Europe/Stockholm","30"
"2020-04-29 00:00:00.000 Europe/Stockholm","35"
"2020-04-30 00:00:00.000 Europe/Stockholm","27"
"2020-05-01 00:00:00.000 Europe/Stockholm","19"
"2020-05-02 00:00:00.000 Europe/Stockholm","18"
"2020-05-03 00:00:00.000 Europe/Stockholm","24"
"2020-05-04 00:00:00.000 Europe/Stockholm","29"
"2020-05-05 00:00:00.000 Europe/Stockholm","34"
"2020-05-06 00:00:00.000 Europe/Stockholm","39"
"2020-05-07 00:00:00.000 Europe/Stockholm","40"
"2020-05-08 00:00:00.000 Europe/Stockholm","37"
"2020-05-09 00:00:00.000 Europe/Stockholm","19"
"2020-05-10 00:00:00.000 Europe/Stockholm","25"
"2020-05-11 00:00:00.000 Europe/Stockholm","33"
"2020-05-12 00:00:00.000 Europe/Stockholm","31"
"2020-05-13 00:00:00.000 Europe/Stockholm","36"
"2020-05-14 00:00:00.000 Europe/Stockholm","36"
"2020-05-15 00:00:00.000 Europe/Stockholm","43"
"2020-05-16 00:00:00.000 Europe/Stockholm","22"
"2020-05-17 00:00:00.000 Europe/Stockholm","27"
"2020-05-18 00:00:00.000 Europe/Stockholm","34"
"2020-05-19 00:00:00.000 Europe/Stockholm","37"
