Datum;Gästnätter i snitt per dag
2021-01-01;10 924
2021-01-02;11 302
2021-01-03;8 949
2021-01-04;9 511
2021-01-05;9 841
2021-01-06;8 633
2021-01-07;9 428
2021-01-08;10 173
2021-01-09;11 456
2021-01-10;7 895
2021-01-11;9 459
2021-01-12;9 967
2021-01-13;10 017
2021-01-14;8 813
2021-01-15;10 615
2021-01-16;12 372
2021-01-17;8 355
2021-01-18;9 885
2021-01-19;10 272
2021-01-20;10 406
2021-01-21;9 303
2021-01-22;11 475
2021-01-23;13 344
2021-01-24;8 789
2021-01-25;10 154
2021-01-26;10 741
2021-01-27;10 896
2021-01-28;9 426
2021-01-29;13 528
2021-01-30;15 609
2021-01-31;8 204
2021-02-01;10 136
2021-02-02;10 848
2021-02-03;10 911
2021-02-04;10 102
2021-02-05;13 148
2021-02-06;15 417
2021-02-07;9 291
2021-02-08;10 654
2021-02-09;11 231
2021-02-10;11 463
2021-02-11;10 491
2021-02-12;15 214
2021-02-13;23 097
2021-02-14;12 562
2021-02-15;11 201
2021-02-16;11 581
2021-02-17;11 383
2021-02-18;11 055
2021-02-19;14 692
2021-02-20;17 177
2021-02-21;9 954
2021-02-22;11 384
2021-02-23;12 186
2021-02-24;12 384
2021-02-25;12 030
2021-02-26;16 712
2021-02-27;18 990
2021-02-28;10 574
2021-03-01;12 424
2021-03-02;12 872
2021-03-03;13 185
2021-03-04;13 198
2021-03-05;15 964
2021-03-06;16 754
2021-03-07;9 773
2021-03-08;11 423
2021-03-09;11 895
2021-03-10;12 078
2021-03-11;11 284
2021-03-12;13 912
2021-03-13;16 042
2021-03-14;9 606
2021-03-15;11 384
2021-03-16;12 127
2021-03-17;12 069
2021-03-18;11 245
2021-03-19;14 025
2021-03-20;16 706
2021-03-21;10 412
2021-03-22;12 034
2021-03-23;12 708
2021-03-24;13 170
2021-03-25;12 303
2021-03-26;15 877
2021-03-27;18 319
2021-03-28;9 828
2021-03-29;11 744
2021-03-30;11 659
2021-03-31;10 595
2021-04-01;12 628
2021-04-02;16 962
2021-04-03;17 070
2021-04-04;12 930
2021-04-05;10 858
2021-04-06;12 678
2021-04-07;13 501
2021-04-08;13 358
2021-04-09;15 886
2021-04-10;17 313
2021-04-11;10 147
2021-04-12;11 560
2021-04-13;12 005
2021-04-14;12 368
2021-04-15;11 342
2021-04-16;14 331
2021-04-17;16 845
2021-04-18;9 887
2021-04-19;11 703
2021-04-20;12 261
2021-04-21;12 439
2021-04-22;11 494
2021-04-23;15 601
2021-04-24;18 649
2021-04-25;10 102
2021-04-26;11 982
2021-04-27;12 438
2021-04-28;12 144
2021-04-29;10 939
2021-04-30;15 716
2021-05-01;17 378
2021-05-02;10 737
2021-05-03;11 907
2021-05-04;12 592
2021-05-05;12 663
2021-05-06;12 004
2021-05-07;15 965
2021-05-08;18 678
2021-05-09;10 736
2021-05-10;12 060
2021-05-11;12 272
2021-05-12;13 388
2021-05-13;19 798
2021-05-14;22 446
2021-05-15;21 313
2021-05-16;11 276
2021-05-17;12 923
2021-05-18;13 945
2021-05-19;13 984
2021-05-20;13 119
2021-05-21;17 627
2021-05-22;20 393
2021-05-23;11 515
2021-05-24;12 999
2021-05-25;14 002
2021-05-26;14 427
2021-05-27;14 133
2021-05-28;20 823
2021-05-29;24 783
2021-05-30;11 856
2021-05-31;12 902
2021-06-01;14 590
2021-06-02;15 056
2021-06-03;15 201
2021-06-04;21 913
2021-06-05;24 958
2021-06-06;12 908
2021-06-07;14 816
2021-06-08;15 913
2021-06-09;15 977
2021-06-10;15 868
2021-06-11;23 105
2021-06-12;26 402
2021-06-13;14 387
2021-06-14;16 425
2021-06-15;17 267
2021-06-16;18 248
2021-06-17;18 343
2021-06-18;24 410
2021-06-19;27 629
2021-06-20;15 172
2021-06-21;17 735
2021-06-22;17 699
2021-06-23;14 937
2021-06-24;14 789
2021-06-25;20 968
2021-06-26;19 405
2021-06-27;14 528
2021-06-28;19 470
2021-06-29;21 328
2021-06-30;21 638
